Element ID,Element Type,Page/Component,Description,Desktop,Mobile,Tablet,Keyboard Accessible,Screen Reader Accessible,Color Contrast,Focus State,Loading State,Toast State,RTL Support,Analytics Events,Status,Notes
header-logo,Button,Header,Home navigation button,Yes,Yes,Yes,Yes,Yes,Pass,Pass,N/A,N/A,Pass,click_home,Not Started,
header-destinations,Button,Header,Destinations navigation,Yes,Yes,Yes,Yes,Yes,Pass,Pass,N/A,N/A,Pass,click_destinations,Not Started,
header-discover,Button,Header,Discover navigation,Yes,Yes,Yes,Pass,Pass,Pass,Pass,N/A,N/A,Pass,click_discover,Not Started,
header-deals,Button,Header,Deals navigation,Yes,Yes,Yes,Pass,Pass,Pass,Pass,N/A,N/A,Pass,click_deals,Not Started,
header-blog,Button,Header,Blog navigation,Yes,Yes,Yes,Pass,Pass,Pass,Pass,N/A,N/A,Pass,click_blog,Not Started,
header-ai-assistant,Button,Header,AI Assistant navigation,Yes,Yes,Yes,Pass,Pass,Pass,Pass,N/A,N/A,Pass,click_ai_assistant,Not Started,
header-theme-toggle,Button,Header,Theme toggle button,Yes,Yes,Yes,Pass,Pass,Pass,Pass,N/A,N/A,Pass,click_theme_toggle,Not Started,
header-favorites,Button,Header,Favorites button,Yes,Yes,Yes,Pass,Pass,Pass,Pass,N/A,N/A,Pass,click_favorites,Not Started,
header-user-menu,Button,Header,User menu dropdown,Yes,Yes,Yes,Pass,Pass,Pass,Pass,N/A,N/A,Pass,click_user_menu,Not Started,
header-sign-in,Button,Header,Sign in button,Yes,Yes,Yes,Pass,Pass,Pass,Pass,N/A,N/A,Pass,click_sign_in,Not Started,
header-mobile-menu,Button,Header,Mobile menu toggle,Yes,Yes,Yes,Pass,Pass,Pass,Pass,N/A,N/A,Pass,click_mobile_menu,Not Started,
hero-search-input,Input,Hero,Search destination input,Yes,Yes,Yes,Pass,Pass,Pass,Pass,N/A,N/A,Pass,focus_search,Not Started,
hero-search-button,Button,Hero,Search submit button,Yes,Yes,Yes,Pass,Pass,Pass,Pass,Pass,N/A,Pass,click_search,Not Started,
hero-spin-button,Button,Hero,Spin to discover button,Yes,Yes,Yes,Pass,Pass,Pass,Pass,N/A,N/A,Pass,click_spin,Not Started,
hero-deals-button,Button,Hero,Find travel deals button,Yes,Yes,Yes,Pass,Pass,Pass,Pass,N/A,N/A,Pass,click_deals_hero,Not Started,
roulette-filter-location,Dropdown,Roulette,Location filter dropdown,Yes,Yes,Yes,Pass,Pass,Pass,Pass,N/A,N/A,Pass,change_location_filter,Not Started,
roulette-filter-activity,Dropdown,Roulette,Activity filter dropdown,Yes,Yes,Yes,Pass,Pass,Pass,Pass,N/A,N/A,Pass,change_activity_filter,Not Started,
roulette-spin-button,Button,Roulette,Spin roulette button,Yes,Yes,Yes,Pass,Pass,Pass,Pass,Pass,Pass,Pass,click_roulette_spin,Not Started,
roulette-view-details,Button,Roulette,View destination details,Yes,Yes,Yes,Pass,Pass,Pass,Pass,N/A,N/A,Pass,click_view_details,Not Started,
roulette-spin-again,Button,Roulette,Spin again button,Yes,Yes,Yes,Pass,Pass,Pass,Pass,N/A,N/A,Pass,click_spin_again,Not Started,
destination-card-favorite,Button,DestinationCard,Add/remove favorite,Yes,Yes,Yes,Pass,Pass,Pass,Pass,N/A,N/A,Pass,click_favorite,Not Started,
destination-card-share,Button,DestinationCard,Share destination,Yes,Yes,Yes,Pass,Pass,Pass,Pass,N/A,N/A,Pass,click_share,Not Started,
destination-card-pin,Button,DestinationCard,Pin destination,Yes,Yes,Yes,Pass,Pass,Pass,Pass,N/A,N/A,Pass,click_pin,Not Started,
destination-card-view,Button,DestinationCard,View AI itinerary,Yes,Yes,Yes,Pass,Pass,Pass,Pass,N/A,N/A,Pass,click_view_itinerary,Not Started,
